pc: 0x80000068, inst: 0x2be03, is_inst 16? false pre_inst: 0x2be03
pc: 0x8000006c, inst: 0x102bf03, is_inst 16? false pre_inst: 0x102bf03
pc: 0x8000006e, inst: 0x9f1e, is_inst 16? true pre_inst: 0x9f1e
pc: 0x80000070, inst: 0x9e1e, is_inst 16? true pre_inst: 0x9e1e
pc: 0x80000074, inst: 0x1ee3023, is_inst 16? false pre_inst: 0x1ee3023
pc: 0x80000076, inst: 0x2e1, is_inst 16? true pre_inst: 0x2e1
pc: 0x8000005a, inst: 0xfe62c2e3, is_inst 16? false pre_inst: 0xfe62c2e3
pc: 0x8000005e, inst: 0x82bf03, is_inst 16? false pre_inst: 0x82bf03
pc: 0x80000060, inst: 0x4e0d, is_inst 16? true pre_inst: 0x4e0d
pc: 0x80000064, inst: 0x1cf1a63, is_inst 16? false pre_inst: 0x1cf1a63
pc: 0x80000068, inst: 0x2be03, is_inst 16? false pre_inst: 0x2be03
pc: 0x8000006c, inst: 0x102bf03, is_inst 16? false pre_inst: 0x102bf03
pc: 0x8000006e, inst: 0x9f1e, is_inst 16? true pre_inst: 0x9f1e
pc: 0x80000070, inst: 0x9e1e, is_inst 16? true pre_inst: 0x9e1e
pc: 0x80000074, inst: 0x1ee3023, is_inst 16? false pre_inst: 0x1ee3023
pc: 0x80000076, inst: 0x2e1, is_inst 16? true pre_inst: 0x2e1
pc: 0x8000005a, inst: 0xfe62c2e3, is_inst 16? false pre_inst: 0xfe62c2e3
pc: 0x8000005e, inst: 0x82bf03, is_inst 16? false pre_inst: 0x82bf03
pc: 0x80000060, inst: 0x4e0d, is_inst 16? true pre_inst: 0x4e0d
pc: 0x80000064, inst: 0x1cf1a63, is_inst 16? false pre_inst: 0x1cf1a63
pc: 0x80000068, inst: 0x2be03, is_inst 16? false pre_inst: 0x2be03
pc: 0x8000006c, inst: 0x102bf03, is_inst 16? false pre_inst: 0x102bf03
pc: 0x8000006e, inst: 0x9f1e, is_inst 16? true pre_inst: 0x9f1e
pc: 0x80000070, inst: 0x9e1e, is_inst 16? true pre_inst: 0x9e1e
pc: 0x80000074, inst: 0x1ee3023, is_inst 16? false pre_inst: 0x1ee3023
pc: 0x80000076, inst: 0x2e1, is_inst 16? true pre_inst: 0x2e1
pc: 0x8000005a, inst: 0xfe62c2e3, is_inst 16? false pre_inst: 0xfe62c2e3
pc: 0x8000005e, inst: 0x82bf03, is_inst 16? false pre_inst: 0x82bf03
pc: 0x80000060, inst: 0x4e0d, is_inst 16? true pre_inst: 0x4e0d
pc: 0x80000064, inst: 0x1cf1a63, is_inst 16? false pre_inst: 0x1cf1a63
pc: 0x80000068, inst: 0x2be03, is_inst 16? false pre_inst: 0x2be03
pc: 0x8000006c, inst: 0x102bf03, is_inst 16? false pre_inst: 0x102bf03
pc: 0x8000006e, inst: 0x9f1e, is_inst 16? true pre_inst: 0x9f1e
pc: 0x80000070, inst: 0x9e1e, is_inst 16? true pre_inst: 0x9e1e
pc: 0x80000074, inst: 0x1ee3023, is_inst 16? false pre_inst: 0x1ee3023
pc: 0x80000076, inst: 0x2e1, is_inst 16? true pre_inst: 0x2e1
pc: 0x8000005a, inst: 0xfe62c2e3, is_inst 16? false pre_inst: 0xfe62c2e3
pc: 0x8000005e, inst: 0x82bf03, is_inst 16? false pre_inst: 0x82bf03
pc: 0x80000060, inst: 0x4e0d, is_inst 16? true pre_inst: 0x4e0d
pc: 0x80000064, inst: 0x1cf1a63, is_inst 16? false pre_inst: 0x1cf1a63
